r,T
0.371457, 22.5505
0.372434, 22.5323
0.373412, 22.5141
0.374389, 22.4958
0.375367, 22.4775
0.376344, 22.4591
0.377322, 22.4407
0.378299, 22.4223
0.379277, 22.4037
0.380254, 22.3852
0.381232, 22.3666
0.382209, 22.3479
0.383187, 22.3292
0.384164, 22.3105
0.385142, 22.2917
0.386119, 22.2728
0.387097, 22.2539
0.388074, 22.235
0.389052, 22.216
0.390029, 22.1969
0.391007, 22.1779
0.391984, 22.1587
0.392962, 22.1395
0.393939, 22.1203
0.394917, 22.101
0.395894, 22.0817
0.396872, 22.0623
0.397849, 22.0429
0.398827, 22.0234
0.399804, 22.0039
0.400782, 21.9844
0.40176, 21.9647
0.402737, 21.9451
0.403715, 21.9254
0.404692, 21.9056
0.40567, 21.8858
0.406647, 21.866
0.407625, 21.8461
0.408602, 21.8261
0.40958, 21.8061
0.410557, 21.7861
0.411535, 21.766
0.412512, 21.7459
0.41349, 21.7257
0.414467, 21.7054
0.415445, 21.6852
0.416422, 21.6648
0.4174, 21.6444
0.418377, 21.624
0.419355, 21.6035
0.420332, 21.583
0.42131, 21.5625
0.422287, 21.5418
0.423265, 21.5212
0.424242, 21.5005
0.42522, 21.4797
0.426197, 21.4589
0.427175, 21.438
0.428152, 21.4171
0.42913, 21.3962
0.430108, 21.3752
0.431085, 21.3542
0.432063, 21.3331
0.43304, 21.3119
0.434018, 21.2907
0.434995, 21.2695
0.435973, 21.2482
0.43695, 21.2269
0.437928, 21.2055
0.438905, 21.1841
0.439883, 21.1626
0.44086, 21.1411
0.441838, 21.1195
0.442815, 21.0979
0.443793, 21.0762
0.44477, 21.0545
0.445748, 21.0327
0.446725, 21.0109
0.447703, 20.9891
0.44868, 20.9672
0.449658, 20.9452
0.450635, 20.9232
0.451613, 20.9012
0.45259, 20.8791
0.453568, 20.8569
0.454545, 20.8347
0.455523, 20.8125
0.4565, 20.7902
0.457478, 20.7679
0.458456, 20.7455
0.459433, 20.723
0.460411, 20.7006
0.461388, 20.678
0.462366, 20.6555
0.463343, 20.6328
0.464321, 20.6102
0.465298, 20.5875
0.466276, 20.5647
0.467253, 20.5419
0.468231, 20.519
0.469208, 20.4961
0.470186, 20.4731
0.471163, 20.4501
0.472141, 20.4271
0.473118, 20.404
0.474096, 20.3808
0.475073, 20.3576
0.476051, 20.3344
0.477028, 20.3111
0.478006, 20.2878
0.478983, 20.2644
0.479961, 20.2409
0.480938, 20.2175
0.481916, 20.1939
0.482893, 20.1704
0.483871, 20.1467
0.484848, 20.1231
0.485826, 20.0993
0.486804, 20.0756
0.487781, 20.0518
0.488759, 20.0279
0.489736, 20.004
0.490714, 19.98
0.491691, 19.956
0.492669, 19.9319
0.493646, 19.9078
0.494624, 19.8837
0.495601, 19.8595
0.496579, 19.8352
0.497556, 19.811
0.498534, 19.7866
0.499511, 19.7622
0.500489, 19.7378
0.501466, 19.7133
0.502444, 19.6888
0.503421, 19.6642
0.504399, 19.6396
0.505376, 19.6149
0.506354, 19.5902
0.507331, 19.5654
0.508309, 19.5406
0.509286, 19.5157
0.510264, 19.4908
0.511241, 19.4658
0.512219, 19.4408
0.513196, 19.4157
0.514174, 19.3906
0.515152, 19.3655
0.516129, 19.3403
0.517107, 19.315
0.518084, 19.2897
0.519062, 19.2644
0.520039, 19.239
0.521017, 19.2135
0.521994, 19.1881
0.522972, 19.1625
0.523949, 19.1369
0.524927, 19.1113
0.525904, 19.0856
0.526882, 19.0599
0.527859, 19.0341
0.528837, 19.0083
0.529814, 18.9824
0.530792, 18.9565
0.531769, 18.9305
0.532747, 18.9045
0.533724, 18.8785
0.534702, 18.8524
0.535679, 18.8262
0.536657, 18.8
0.537634, 18.7737
0.538612, 18.7474
0.539589, 18.7211
0.540567, 18.6947
0.541544, 18.6682
0.542522, 18.6418
0.5435, 18.6152
0.544477, 18.5886
0.545455, 18.562
0.546432, 18.5353
0.54741, 18.5086
0.548387, 18.4818
0.549365, 18.455
0.550342, 18.4281
0.55132, 18.4012
0.552297, 18.3742
0.553275, 18.3472
0.554252, 18.3201
0.55523, 18.293
0.556207, 18.2658
0.557185, 18.2386
0.558162, 18.2114
0.55914, 18.1841
0.560117, 18.1567
0.561095, 18.1293
0.562072, 18.1019
0.56305, 18.0744
0.564027, 18.0468
0.565005, 18.0192
0.565982, 17.9916
0.56696, 17.9639
0.567937, 17.9362
0.568915, 17.9084
0.569892, 17.8806
0.57087, 17.8527
0.571848, 17.8248
0.572825, 17.7968
0.573803, 17.7688
0.57478, 17.7407
0.575758, 17.7126
0.576735, 17.6844
0.577713, 17.6562
0.57869, 17.6279
0.579668, 17.5996
0.580645, 17.5713
0.581623, 17.5429
0.5826, 17.5144
0.583578, 17.4859
0.584555, 17.4574
0.585533, 17.4288
0.58651, 17.4001
0.587488, 17.3715
0.588465, 17.3427
0.589443, 17.3139
0.59042, 17.2851
0.591398, 17.2562
0.592375, 17.2273
0.593353, 17.1983
0.59433, 17.1693
0.595308, 17.1402
0.596285, 17.1111
0.597263, 17.0819
0.59824, 17.0527
